Season,Teams,Date,Stadium,Time
IPL 2008,N/A,ALL,N/A,N/A
IPL 2008,N/A,N/A,N/A,N/A
IPL 2008,N/A,N/A,59 T20s . Apr 19 - May 31,N/A
IPL 2008,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 1st match",,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2008,N/A,N/A,N/A,N/A
IPL 2008,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 1st match","Apr 18, Fri","M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2008,"PUNJAB KINGS vs CHENNAI SUPER KINGS, 2nd match","Apr 19, Sat","Punjab Cricket Association IS Bindra Stadium, Mohali",5:00 PM
IPL 2008,"DELHI CAPITALS vs RAJASTHAN ROYALS, 3rd match",,"Arun Jaitley Stadium, Delhi",8:30 PM
IPL 2008,"KOLKATA KNIGHT RIDERS vs DECCAN CHARGERS, 4th match","Apr 20, Sun","Eden Gardens, Kolkata",4:00 PM
IPL 2008,"MUMBAI INDIANS vs ROYAL CHALLENGERS BENGALURU, 5th match",,"Wankhede Stadium, Mumbai",8:00 PM
IPL 2008,"RAJASTHAN ROYALS vs PUNJAB KINGS, 6th match","Apr 21, Mon","Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2008,"DECCAN CHARGERS vs DELHI CAPITALS, 7th match","Apr 22, Tue","Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2008,"CHENNAI SUPER KINGS vs MUMBAI INDIANS, 8th match","Apr 23, Wed","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2008,"DECCAN CHARGERS vs RAJASTHAN ROYALS, 9th match","Apr 24, Thu","Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2008,"PUNJAB KINGS vs MUMBAI INDIANS, 10th match","Apr 25, Fri","Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2008,"CHENNAI SUPER KINGS vs KOLKATA KNIGHT RIDERS, 11th match","Apr 26, Sat","MA Chidambaram Stadium, Chennai",4:00 PM
IPL 2008,"ROYAL CHALLENGERS BENGALURU vs RAJASTHAN ROYALS, 12th match",,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2008,"PUNJAB KINGS vs DELHI CAPITALS, 13th match","Apr 27, Sun","Punjab Cricket Association IS Bindra Stadium, Mohali",4:00 PM
IPL 2008,"MUMBAI INDIANS vs DECCAN CHARGERS, 14th match",,"Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2008,"ROYAL CHALLENGERS BENGALURU vs CHENNAI SUPER KINGS, 15th match","Apr 28, Mon","M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2008,"KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS, 16th match","Apr 29, Tue","Eden Gardens, Kolkata",8:00 PM
IPL 2008,"DELHI CAPITALS vs ROYAL CHALLENGERS BENGALURU, 17th match","Apr 30, Wed","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2008,"RAJASTHAN ROYALS vs KOLKATA KNIGHT RIDERS, 18th match","May 01, Thu","Sawai Mansingh Stadium, Jaipur",4:00 PM
IPL 2008,"DECCAN CHARGERS vs PUNJAB KINGS, 19th match",,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2008,"CHENNAI SUPER KINGS vs DELHI CAPITALS, 20th match","May 02, Fri","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2008,"ROYAL CHALLENGERS BENGALURU vs DECCAN CHARGERS, 21st match","May 03, Sat","M.Chinnaswamy Stadium, Bengaluru",4:00 PM
IPL 2008,"PUNJAB KINGS vs KOLKATA KNIGHT RIDERS, 22nd match",,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2008,"MUMBAI INDIANS vs DELHI CAPITALS, 23rd match","May 04, Sun","Dr DY Patil Sports Academy, Navi Mumbai",4:00 PM
IPL 2008,"RAJASTHAN ROYALS vs CHENNAI SUPER KINGS, 24th match",,"Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2008,"ROYAL CHALLENGERS BENGALURU vs PUNJAB KINGS, 25th match","May 05, Mon","M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2008,"CHENNAI SUPER KINGS vs DECCAN CHARGERS, 26th match","May 06, Tue","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2008,"MUMBAI INDIANS vs RAJASTHAN ROYALS, 27th match","May 07, Wed","Dr DY Patil Sports Academy, Navi Mumbai",8:00 PM
IPL 2008,"DELHI CAPITALS vs CHENNAI SUPER KINGS, 28th match","May 08, Thu","Arun Jaitley Stadium, Delhi",4:00 PM
IPL 2008,"KOLKATA KNIGHT RIDERS vs ROYAL CHALLENGERS BENGALURU, 29th match",,"Eden Gardens, Kolkata",8:00 PM
IPL 2008,"RAJASTHAN ROYALS vs DECCAN CHARGERS, 30th match","May 09, Fri","Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2008,"CHENNAI SUPER KINGS vs PUNJAB KINGS, 31st match","May 10, Sat","MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2008,"DECCAN CHARGERS vs KOLKATA KNIGHT RIDERS, 32nd match","May 11, Sun","Rajiv Gandhi International Stadium, Hyderabad",4:00 PM
IPL 2008,"RAJASTHAN ROYALS vs DELHI CAPITALS, 33rd match",,"Sawai Mansingh Stadium, Jaipur",8:00 PM
IPL 2008,"PUNJAB KINGS vs ROYAL CHALLENGERS BENGALURU, 34th match","May 12, Mon","Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2008,"KOLKATA KNIGHT RIDERS vs DELHI CAPITALS, 35th match","May 13, Tue","Eden Gardens, Kolkata",8:00 PM
IPL 2008,"MUMBAI INDIANS vs CHENNAI SUPER KINGS, 36th match","May 14, Wed","Wankhede Stadium, Mumbai",8:00 PM
IPL 2008,"DELHI CAPITALS vs DECCAN CHARGERS, 37th match","May 15, Thu","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2008,"MUMBAI INDIANS vs KOLKATA KNIGHT RIDERS, 38th match","May 16, Fri","Wankhede Stadium, Mumbai",8:00 PM
IPL 2008,"RAJASTHAN ROYALS vs ROYAL CHALLENGERS BENGALURU, 39th match","May 17, Sat","Sawai Mansingh Stadium, Jaipur",4:00 PM
IPL 2008,"DELHI CAPITALS vs PUNJAB KINGS, 40th match",,"Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2008,"KOLKATA KNIGHT RIDERS vs CHENNAI SUPER KINGS, 41st match","May 18, Sun","Eden Gardens, Kolkata",4:00 PM
IPL 2008,"DECCAN CHARGERS vs MUMBAI INDIANS, 42nd match",,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM
IPL 2008,"ROYAL CHALLENGERS BENGALURU vs DELHI CAPITALS, 43rd match","May 19, Mon","M.Chinnaswamy Stadium, Bengaluru",8:00 PM
IPL 2008,"KOLKATA KNIGHT RIDERS vs RAJASTHAN ROYALS, 44th match","May 20, Tue","Eden Gardens, Kolkata",8:00 PM
IPL 2008,"MUMBAI INDIANS vs PUNJAB KINGS, 45th match","May 21, Wed","Wankhede Stadium, Mumbai",4:00 PM
IPL 2008,"CHENNAI SUPER KINGS vs ROYAL CHALLENGERS BENGALURU, 46th match",,"MA Chidambaram Stadium, Chennai",8:00 PM
IPL 2008,"DELHI CAPITALS vs KOLKATA KNIGHT RIDERS, 47th match","May 22, Thu","Arun Jaitley Stadium, Delhi",8:00 PM
IPL 2008,"PUNJAB KINGS vs DECCAN CHARGERS, 48th match","May 23, Fri","Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM
IPL 2008,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, 49th match","May 24, Sat","MA Chidambaram Stadium, Chennai",4:00 PM
